order_id,order_date,region,product_category,product_name,sales_rep,customer_segment,units_sold,unit_price,unit_cost,discount_pct
100000,2024-02-02,East,Software,Security Suite,Alice Chen,SMB,15,496.67,99.33,0.0
100001,2024-10-10,South,Electronics,Docking Station,Bob Martinez,SMB,17,370.5,240.83,0.0
100002,2024-08-27, West,Software,Security Suite,Carol Singh,Enterprise,16,575.83,115.17,0.0
100003,2024-06-09,South,Office Supplies,Printer Paper,Frank Lee,Consumer,7,92.46,41.61,0.0
100004,2024-06-07,South,Furniture,Filing Cabinet,Frank Lee,Enterprise,6,332.83,183.06,0.0
100005,2024-11-10,East,Electronics,Wireless Mouse,Frank Lee,SMB,18,1216.87,790.97,0.05
100006,2024-02-01,South,Software,Design Suite,Carol Singh,SMB,10,147.0,29.4,0.0
100007,2024-09-12,North,Office Supplies,Ink Cartridge,Bob Martinez,Enterprise,16,36.37,16.37,0.0
100008,2024-03-14,South,Furniture,Filing Cabinet,Frank Lee,Consumer,10,842.6,463.43,0.0
100009,2024-02-04,West,Software,Security Suite,Hassan Ali,SMB,33,539.38,107.88,0.05
100010,2024-07-11,South,Electronics,Docking Station,David Okafor,SMB,1,842.61,547.7,0.0
100011,2024-12-23,East,Software,Security Suite,Grace Park,Enterprise,6,173.85,34.77,0.05
100012,2024-09-26,West,Software,CRM License,Grace Park,Enterprise,51,270.91,54.18,0.0
100013,2024-10-05,West,Furniture,Bookshelf,Bob Martinez,SMB,15,322.97,177.63,0.0
100014,2024-09-19,North,Software,Backup Service,Frank Lee,Consumer,18,424.73,84.95,0.0
100015,2024-10-14,West,Electronics,Laptop Pro,Frank Lee,Consumer,20,382.07,248.35,0.05
100016,2024-07-06,North,Electronics,"Monitor 27""",Frank Lee,Enterprise,42,758.94,493.31,0.0
100017,2024-02-16,West,Office Supplies,Ink Cartridge,Bob Martinez,SMB,33,101.04,45.47,0.0
100018,2024-11-03,East,Software,Backup Service,Grace Park,Enterprise,2,335.4,67.08,0.05
100019,2024-06-13,South,Office Supplies,Printer Paper,Bob Martinez,SMB,7,26.72,12.02,0.0
100020,2024-07-02,South,Software,Security Suite,Frank Lee,SMB,27,590.64,118.13,0.0
100021,2024-05-15,West,Electronics,Wireless Mouse,Alice Chen,SMB,46,1180.95,767.62,0.0
100022,2024-03-07,North,Electronics,Wireless Mouse,Eva Rossi,Enterprise,19,1234.88,802.67,0.1
100023,2024-12-05,North,Electronics,Webcam HD,Hassan Ali,Enterprise,1,375.55,244.11,0.0
100024,2024-10-13,North,Software,Security Suite,David Okafor,Enterprise,18,139.07,27.81,0.0
100025,2024-08-23,North,Software,Backup Service,Bob Martinez,Consumer,3,516.61,103.32,0.0
100026,2024-05-27,West,Furniture,Standing Desk,Bob Martinez,Consumer,30,185.2,101.86,0.05
100027,2024-10-28,West,Furniture,Filing Cabinet,Frank Lee,,66,512.52,281.89,0.05
100028,2024-07-18,West,Electronics,Wireless Mouse,Eva Rossi,Enterprise,7,853.74,554.93,0.0
100029,2024-06-11,South,Office Supplies,Stapler,Frank Lee,Consumer,30,33.37,15.02,0.0
100030,2024-06-13,East,Electronics,"Monitor 27""",Bob Martinez,Consumer,29,1138.39,739.95,0.1
100031,2024-03-24,South,Office Supplies,Pen Set,Alice Chen,SMB,9,118.46,53.31,0.0
100032,2024-02-03,West,Electronics,Wireless Mouse,Grace Park,SMB,31,1473.97,958.08,0.1
100033,2024-07-21,West,Furniture,Ergo Chair,Grace Park,SMB,54,619.95,340.97,0.0
100034,2024-11-20,North,Office Supplies,Ink Cartridge,Grace Park,SMB,25,11.35,5.11,0.0
100035,2024-01-24,North,Furniture,Filing Cabinet,Frank Lee,Consumer,15,121.72,66.95,0.0
100036,2024-11-10,West,Office Supplies,Notebook Pack,Grace Park,Enterprise,60,66.1,29.74,0.05
100037,2024-10-29,North,Electronics,"Monitor 27""",Frank Lee,Consumer,6,1123.02,729.96,0.0
